ADHD,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
ADPKD,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
AIDS,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
ALS,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
ARPKD,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
A型肝炎,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
B型肝炎,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
C型肝炎,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
COVID-19,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
GIST,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
O157,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
SARS,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
WPW症候群,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アーノルド・キアリ奇形,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アジソン病,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アディソン病,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アテローム,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アルツハイマー,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アルツハイマー病,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アルビノ,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アルブライト遺伝性骨異栄養症,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アルブライト症候群,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アルポート症候群,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アレルギー性結膜炎,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アレルギー性紫斑病,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アレルギー性肉芽腫性血管炎,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アレルギー性鼻炎,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アンジェルマン症候群,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アンダーセン病,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
アントン症候群,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
インキン,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
いんきん,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
インフル,,,10000,名詞,一般,*,*,*,*,*,*,*,medical_202410
